EXPEDITION,BLOCK,PLOT,TRT,ID,N,P,CATIONS,COLLECTION_DATE,CONDITION,Weight1_1,Weight1_2,Weight1_3,Mean_weight_1,Weight2_1,Weight2_2,Weight2_3,Mean_weight_2,Weight3_1,Weight3_2,Weight3_3,Mean_weight_3,Residual_fat,Standard_residuals_hingstepeira
FIRST,B1,P3,P+Cations,PCa_R02,0,1,1,28/10/2022,Adult,0.0029,0.003,0.0025,0.0028,0.0022,0.0022,0.0027,0.0024,0.0029,0.0028,0.0027,0.0028,0,-0.6987677
SECOND,B1,P3,P+Cations,PCa_R03,0,1,1,04/06/2023,Adult,0.0015,0.0021,0.0018,0.0018,0.0015,0.0018,0.0018,0.0017,0.0017,0.0017,0.0017,0.0017,1.00E-04,0.126529286
SECOND,B4,P8,P+Cations,PCa_R07_dup,0,1,1,14/06/2023,Adult,0.0026,0.0027,0.0028,0.0027,0.0025,0.0028,0.0028,0.0027,0.0028,0.0025,0.0027,0.0027,-1.00E-04,-0.806190953
THIRD,B1,P3,P+Cations,PCa_R26,0,1,1,19/03/2024,Adult,0.0052,0.005,0.0057,0.0053,0.0041,0.0042,0.0041,0.0041,0.0039,0.0039,0.0044,0.0041,0.0012,0.525865929
THIRD,B2,P4,P+Cations,PCa_R27_dup,0,1,1,20/03/2024,Adult,0.0067,0.0068,0.0063,0.0066,0.0051,0.005,0.0049,0.005,0.0047,0.005,0.0049,0.0049,0.0017,0.884083394
THIRD,B1,P3,P+Cations,PCa_R28,0,1,1,19/03/2024,Adult,0.0037,0.0038,0.0036,0.0037,0.0034,0.0032,0.0033,0.0033,0.0031,0.0034,0.0032,0.0032,5.00E-04,-0.10340631
THIRD,B1,P3,P+Cations,PCa_R30,0,1,1,19/03/2024,Adult,0.003,0.0033,0.0035,0.0033,0.0033,0.003,0.0032,0.0032,0.0033,0.0032,0.0032,0.0032,1.00E-04,-0.770081808
THIRD,B1,P3,P+Cations,PCa_R33,0,1,1,22/03/2024,Adult,0.0038,0.0038,0.0035,0.0037,0.0035,0.0033,0.0036,0.0035,0.0032,0.0035,0.0034,0.0034,3.00E-04,-0.555968345
THIRD,B1,P3,P+Cations,PCa_R34,0,1,1,22/03/2024,Adult,0.0043,0.0043,0.0038,0.0041,0.0038,0.004,0.0042,0.004,0.0041,0.004,0.0038,0.004,1.00E-04,-1.247371388
THIRD,B1,P3,P+Cations,PCa_R36,0,1,1,22/03/2024,Adult,0.0054,0.0045,0.0044,0.0048,0.0036,0.0038,0.0038,0.0037,0.0032,0.0037,0.0036,0.0035,0.0013,1.050370838
THIRD,B4,P8,P+Cations,PCa_R37,0,1,1,25/03/2024,Adult,0.0045,0.0038,0.004,0.0041,0.0035,0.0037,0.0039,0.0037,0.0034,0.0032,0.0033,0.0033,8.00E-04,0.33683127
THIRD,B4,P8,P+Cations,PCa_R38,0,1,1,25/03/2024,Adult,0.0031,0.0026,0.003,0.0029,0.0027,0.0028,0.003,0.0028,0.0024,0.003,0.0025,0.0026,3.00E-04,-0.078675086
