EXPEDITION,BLOCK,PLOT,ID,STEP,WEIGHT
THIRD,4,4,NP_R41,P2,0.0046
THIRD,4,4,NP_R42,Pi,0.0053
THIRD,4,4,NP_R42,P1,0.0047
THIRD,4,4,NP_R42,P2,0.0039
THIRD,4,4,NP_R43,Pi,0.0053
THIRD,4,4,NP_R43,P1,0.0042
THIRD,4,4,NP_R43,P2,0.004
THIRD,4,4,NP_R44,Pi,0.0038
THIRD,4,4,NP_R44,P1,0.0036
THIRD,4,4,NP_R44,P2,0.0037
THIRD,4,4,NP_R45,Pi,0.0039
THIRD,4,4,NP_R45,P1,0.0038
THIRD,4,4,NP_R45,P2,0.0039
THIRD,4,4,NP_R47,Pi,0.0037
THIRD,4,4,NP_R47,P1,0.0036
THIRD,4,4,NP_R47,P2,0.0036
THIRD,4,4,NP_R48,Pi,0.0044
THIRD,4,4,NP_R48,P1,0.0037
THIRD,4,4,NP_R48,P2,0.0035
THIRD,3,7,NP_R49,Pi,0.0038
THIRD,3,7,NP_R49,P1,0.0036
THIRD,3,7,NP_R49,P2,0.0037
THIRD,3,7,NP_R50,Pi,0.0036
THIRD,3,7,NP_R50,P1,0.0034
THIRD,3,7,NP_R50,P2,0.0035
THIRD,3,7,NP_R52,Pi,0.0053
THIRD,3,7,NP_R52,P1,0.0041
THIRD,3,7,NP_R52,P2,0.0042
FIRST,4,7,NPCa_R01,Pi,0.0036
FIRST,4,7,NPCa_R01,P1,0.0036
FIRST,4,7,NPCa_R01,P2,0.0036
THIRD,1,6,NPCa_R18,Pi,0.0038
THIRD,1,6,NPCa_R18,P1,0.0035
THIRD,1,6,NPCa_R18,P2,0.0035
THIRD,1,6,NPCa_R19,Pi,0.0038
THIRD,1,6,NPCa_R19,P1,0.0033
THIRD,1,6,NPCa_R19,P2,0.0035
THIRD,3,3,NPCa_R22_dup,Pi,0.0024
THIRD,3,3,NPCa_R22_dup,P1,0.0021
THIRD,3,3,NPCa_R22_dup,P2,0.0022
THIRD,4,7,NPCa_R24,Pi,0.0035
THIRD,4,7,NPCa_R24,P1,0.003
THIRD,4,7,NPCa_R24,P2,0.003
FIRST,2,4,PCa_R01,Pi,0.0036
FIRST,2,4,PCa_R01,P1,0.0036
